step,sim_time_s,tl_phase,halt_north,halt_south,halt_east,halt_west,wait_north,wait_south,wait_east,wait_west,speed_north,speed_south,speed_east,speed_west,vehicles_in_network,agent_action,agent_action_label,phase_decision_timer
0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,2,,,0.0
1,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,2,,,1.0
2,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,225,,,2.0
3,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.78,27.78,27.78,27.78,225,,,3.0
4,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.69,27.78,27.78,27.78,225,,,4.0
5,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.293,27.78,27.78,27.78,225,,,5.0
6,6.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.308,27.78,27.78,27.78,225,,,6.0
7,7.0,0,0,0,0,0,0.0,0.0,0.0,0.0,27.647,27.78,26.044,27.78,225,,,7.0
8,8.0,0,0,0,0,0,0.0,0.0,0.0,0.0,28.226,27.596,24.919,27.78,225,,,8.0
9,9.0,0,0,0,0,0,0.0,0.0,0.0,0.0,28.054,25.962,23.794,27.78,225,,,9.0
10,10.0,1,0,0,0,0,0.0,0.0,0.0,0.0,28.587,26.327,22.669,27.78,225,1,EW_green,10.0
11,11.0,1,0,0,0,0,0.0,0.0,0.0,0.0,28.35,25.492,21.544,27.78,225,1,EW_green,10.0
12,12.0,1,0,0,0,0,0.0,0.0,0.0,0.0,26.85,23.746,20.884,27.78,225,1,EW_green,10.0
13,13.0,1,0,0,1,0,0.0,0.0,1.0,0.0,25.063,20.985,20.858,27.78,225,1,EW_green,10.0
14,14.0,2,1,1,0,0,0.0,0.0,0.0,0.0,18.066,14.286,27.78,27.78,225,1,EW_green,10.0
15,15.0,2,1,1,0,0,1.0,1.0,0.0,0.0,18.037,12.839,24.054,27.78,225,1,EW_green,10.0
16,10.0,0,1,1,0,0,2.0,2.0,0.0,0.0,17.951,11.434,24.405,24.77,225,1,EW_green,0.0
17,17.0,2,1,1,0,0,3.0,3.0,0.0,0.0,16.559,9.911,24.95,23.757,225,1,EW_green,1.0
18,18.0,2,1,1,0,0,4.0,4.0,0.0,0.0,15.188,8.859,27.78,22.69,225,1,EW_green,2.0
19,19.0,2,1,2,0,0,5.0,6.0,0.0,0.0,13.736,9.109,27.78,20.222,225,1,EW_green,3.0
