state_N,state_S,state_E,state_W,action,r1_throughput,r2_fairness,r3_smoothness,next_state_N,next_state_S,next_state_E,next_state_W,done
0,0,0,0,0,0,-0.5,-2.0,0,0,0,0,False
0,0,0,0,0,1,-1.0897247358851685,-7.0,0,0,0,0,False
0,0,0,0,0,1,-1.8708286933869707,-12.0,1,0,0,0,False
1,0,0,1,2,1,-1.8708286933869707,-12.0,0,0,0,1,False
0,0,1,1,3,0,-1.920286436967152,-9.0,0,0,1,0,False
0,1,1,0,0,1,-2.165063509461097,-11.0,0,0,1,0,False
0,0,1,1,1,1,-2.8613807855648994,-15.0,1,0,0,1,False
1,0,0,1,2,1,-2.958039891549808,-14.0,0,0,0,1,False
0,1,0,1,3,0,-2.5495097567963922,-16.0,0,1,0,1,False
0,1,1,0,0,1,-1.5811388300841898,-12.0,0,0,1,0,False
0,0,1,1,1,1,-3.031088913245535,-15.0,0,1,0,1,False
0,1,0,1,0,0,-3.897114317029974,-21.0,0,1,0,1,False
0,0,0,1,3,0,-2.29128784747792,-14.0,1,0,0,1,False
1,1,0,0,2,2,-1.8027756377319946,-10.0,1,0,0,0,False
0,0,1,0,1,0,-1.920286436967152,-11.0,0,0,0,1,False
0,1,0,1,3,0,-2.23606797749979,-12.0,0,1,0,0,False
0,1,0,0,0,2,-1.5811388300841898,-8.0,0,0,0,0,False
0,0,1,1,1,1,-2.277608394786075,-9.0,0,0,0,1,False
0,0,0,1,3,1,-1.479019945774904,-9.0,0,0,0,0,False
0,1,0,0,0,4,-1.7853571071357126,-9.0,1,0,0,0,False
1,0,0,1,2,0,-1.8027756377319946,-10.0,0,0,0,1,False
0,1,0,1,0,1,-2.5495097567963922,-12.0,0,1,0,1,False
0,0,0,1,3,0,-2.1213203435596424,-8.0,0,0,0,1,False
0,1,0,0,0,1,-0.7071067811865476,-12.0,0,0,0,0,False
1,0,0,1,3,1,-2.8613807855648994,-15.0,1,0,0,1,False
1,1,0,0,2,3,-1.7853571071357126,-13.0,1,0,0,0,False
0,1,1,0,0,1,-2.692582403567252,-14.0,0,1,1,0,False
0,0,1,1,1,2,-2.48746859276655,-13.0,0,0,0,1,False
0,1,0,1,0,1,-4.815340071064556,-21.0,0,1,0,1,False
0,0,0,1,3,2,-3.491060010942235,-17.0,0,0,0,1,False
1,1,0,0,0,3,-1.299038105676658,-17.0,1,0,1,0,False
1,0,1,1,2,0,-2.7386127875258306,-16.0,1,0,0,1,False
0,1,0,1,0,0,-4.602988159880492,-17.0,0,1,0,0,False
1,0,0,1,2,1,-2.165063509461097,-13.0,0,0,0,1,False
0,1,0,1,0,1,-4.924428900898052,-18.0,0,1,0,0,False
0,0,0,1,3,2,-1.8027756377319946,-10.0,1,0,0,0,False
1,1,0,0,0,0,-2.5860201081971503,-17.0,1,1,0,0,False
1,0,0,1,2,0,-2.947456530637899,-13.0,0,0,0,1,False
0,1,0,1,3,2,-3.6742346141747673,-16.0,0,1,0,1,False
0,2,0,0,0,0,-3.344772040064913,-19.0,0,1,0,1,False
0,1,1,1,3,0,-1.5,-10.0,0,0,0,0,False
1,1,0,0,0,1,-3.2015621187164243,-18.0,1,1,0,0,False
1,1,0,1,2,0,-2.5,-14.0,0,0,0,1,False
0,1,0,1,0,0,-3.570714214271425,-18.0,0,1,0,1,False
0,0,0,1,3,1,-2.8613807855648994,-13.0,0,1,0,1,False
0,1,0,0,0,3,-1.0,-20.0,0,1,1,0,False
1,0,1,1,3,0,-2.1213203435596424,-12.0,1,0,0,1,False
1,1,0,0,0,2,-2.9154759474226504,-28.0,1,1,1,0,False
1,1,1,1,2,0,-4.02336923485777,-19.0,1,0,0,1,False
0,1,0,1,0,2,-5.123475382979799,-22.0,0,1,1,0,False
1,1,1,1,3,3,-2.165063509461097,-15.0,1,1,0,1,False
1,1,0,0,0,2,-3.766629793329841,-23.0,1,1,0,0,False
1,1,1,1,2,1,-2.9154759474226504,-16.0,1,0,0,1,False
0,1,0,1,0,2,-4.924428900898052,-22.0,0,1,0,0,False
0,1,1,1,3,1,-2.277608394786075,-15.0,1,0,0,1,False
1,1,0,0,0,3,-2.277608394786075,-23.0,1,1,0,0,False
1,0,1,1,2,1,-3.3166247903554,-20.0,1,0,0,1,False
0,1,0,1,0,2,-5.11737237261468,-17.0,0,1,0,0,False
0,1,0,1,3,1,-2.345207879911715,-16.0,1,1,0,1,False
1,1,0,0,0,2,-2.1213203435596424,-20.0,1,1,0,0,False
1,0,1,1,2,2,-2.449489742783178,-16.0,1,0,0,1,False
0,1,0,1,0,1,-3.491060010942235,-19.0,0,1,0,1,False
0,0,1,1,3,1,-2.23606797749979,-12.0,0,0,0,1,False
1,1,0,0,0,1,-1.8027756377319946,-14.0,1,0,0,0,False
1,0,1,1,2,1,-2.8613807855648994,-15.0,1,0,0,1,False
0,1,0,1,0,0,-1.5811388300841898,-12.0,0,1,0,0,False
0,0,1,1,1,0,-3.191786333700926,-19.0,1,1,0,1,False
1,1,0,1,3,1,-2.9154759474226504,-20.0,1,1,0,1,False
1,1,0,0,0,3,-2.5495097567963922,-20.0,1,1,0,0,False
1,0,0,0,2,1,-3.031088913245535,-17.0,1,0,0,1,False
0,1,0,1,0,1,-3.082207001484488,-12.0,0,1,0,0,False
1,0,0,1,2,1,-2.8722813232690143,-18.0,0,0,0,1,False
0,1,0,1,3,1,-2.7726341266023544,-13.0,0,1,0,1,False
0,1,0,0,0,1,-2.345207879911715,-16.0,0,0,1,0,False
0,0,1,1,1,0,-2.8613807855648994,-15.0,0,0,0,1,False
1,1,0,1,3,1,-4.866980583482946,-19.0,0,1,0,1,False
0,1,0,0,0,0,-3.112474899497183,-13.0,0,1,0,0,False
1,0,0,1,2,2,-1.8708286933869707,-12.0,0,1,0,0,False
0,1,0,1,0,0,-2.958039891549808,-14.0,0,1,0,0,False
0,0,1,1,1,3,-3.112474899497183,-13.0,0,0,0,1,False
0,1,0,1,3,0,-4.763139720814412,-21.0,0,1,0,1,False
0,1,0,0,0,2,-1.5,-14.0,0,0,0,1,False
0,0,0,1,3,0,-2.692582403567252,-14.0,1,0,0,1,False
0,1,0,0,0,1,-2.5860201081971503,-13.0,1,0,0,0,False
1,0,1,1,2,0,-2.1213203435596424,-12.0,1,0,0,1,False
0,1,0,1,0,0,-2.5495097567963922,-12.0,0,1,0,1,False
0,0,0,1,3,2,-2.165063509461097,-11.0,0,0,0,1,False
1,1,0,0,0,2,-1.7853571071357126,-19.0,1,0,1,0,False
1,0,1,1,1,0,-3.2691742076555053,-15.0,1,0,0,1,False
1,0,0,1,2,0,-3.391164991562634,-20.0,1,0,0,1,False
0,1,0,1,3,2,-2.5495097567963922,-12.0,0,1,0,1,False
1,1,0,0,2,3,-1.8708286933869707,-12.0,1,0,0,0,False
0,1,0,1,3,1,-4.415880433163924,-20.0,0,1,1,0,False
0,2,1,0,0,2,-2.277608394786075,-25.0,0,1,1,1,False
1,0,1,1,1,2,-5.1478150704935,-20.0,1,0,0,1,False
1,1,0,2,3,2,-4.743416490252569,-28.0,1,1,0,1,False
1,1,0,0,0,0,-3.082207001484488,-16.0,1,0,0,0,False
1,0,0,1,2,0,-3.774917217635375,-22.0,1,0,0,1,False
0,1,0,1,0,0,-1.7853571071357126,-13.0,0,1,0,0,False
1,0,0,1,3,0,-2.48746859276655,-17.0,1,1,0,1,False
0,1,0,0,0,4,-2.0615528128088303,-10.0,1,0,0,0,False
1,0,0,1,2,0,-3.0413812651491097,-14.0,1,0,0,1,False
0,1,0,1,3,0,-2.384848003542364,-11.0,0,1,0,0,False
0,1,0,0,0,2,-1.0897247358851685,-17.0,0,1,0,0,False
0,0,1,1,3,0,-2.277608394786075,-15.0,1,1,0,0,False
1,1,0,0,0,1,-2.8613807855648994,-17.0,1,1,0,0,False
1,0,0,0,2,0,-2.1213203435596424,-12.0,1,0,0,1,False
0,1,0,1,0,0,-2.449489742783178,-16.0,0,1,0,1,False
0,0,1,1,3,0,-2.179449471770337,-10.0,0,0,0,1,False
0,1,0,0,0,1,-1.920286436967152,-13.0,0,0,1,0,False
1,0,1,1,2,1,-1.8708286933869707,-12.0,0,0,0,1,False
0,1,0,1,0,0,-2.8613807855648994,-13.0,0,1,0,1,False
0,0,0,1,3,1,-1.479019945774904,-9.0,0,0,0,0,False
0,1,0,0,0,2,-1.4142135623730951,-12.0,1,0,0,0,False
1,0,1,1,2,0,-2.165063509461097,-13.0,0,0,0,1,False
